price,beds,bath,laundry,pets,housing_type,parking,hood_district
2995,1,1,(b) on-site,(c) cats,(c) multi,(d) no parking,8
3200,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,6
3495,1,1,(b) on-site,(a) both,(c) multi,(b) protected,7
2500,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,1
2499,2,1,(b) on-site,(d) no pets,(b) double,(d) no parking,2
3100,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,8
3500,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,8
2795,2,1,(a) in-unit,(d) no pets,(c) multi,(d) no parking,8
3104,1,1,(b) on-site,(c) cats,(c) multi,(c) off-street,8
2795,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,7
3000,1,1,(b) on-site,(a) both,(c) multi,(d) no parking,5
2800,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,9
3250,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,6
2800,1,1,(a) in-unit,(d) no pets,(c) multi,(d) no parking,9
1674,1,1,(b) on-site,(a) both,(c) multi,(d) no parking,9
2100,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,9
2700,1,1,(a) in-unit,(d) no pets,(c) multi,(d) no parking,8
2550,1,1,(a) in-unit,(d) no pets,(c) multi,(d) no parking,8
2586,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,9
2795,1,1,(b) on-site,(c) cats,(c) multi,(d) no parking,5
2599,1,1,(a) in-unit,(d) no pets,(c) multi,(c) off-street,9
2400,1,1,(a) in-unit,(d) no pets,(c) multi,(d) no parking,9
3400,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,8
2995,1,1,(a) in-unit,(c) cats,(c) multi,(d) no parking,9
2595,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,9
2800,2,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,8
2700,2,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,8
3000,1,1,(b) on-site,(c) cats,(c) multi,(c) off-street,8
2075,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,10
2499,1,1,(b) on-site,(a) both,(c) multi,(d) no parking,6
3400,1,1,(b) on-site,(a) both,(c) multi,(b) protected,6
3900,2,2,(a) in-unit,(d) no pets,(c) multi,(d) no parking,8
3815,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
3395,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,8
3107,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2595,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,9
3500,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,5
2850,1,1,(b) on-site,(c) cats,(c) multi,(d) no parking,5
2770,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2490,1,1,(c) no laundry,(c) cats,(a) single,(d) no parking,3
2610,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
3572,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2500,1,1,(b) on-site,(a) both,(c) multi,(b) protected,2
2950,1,1,(b) on-site,(a) both,(c) multi,(b) protected,9
2300,2,1,(b) on-site,(d) no pets,(b) double,(d) no parking,2
2650,2,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
2900,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,7
2995,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,9
1950,0,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,8
2450,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,7
3500,2,2,(b) on-site,(a) both,(c) multi,(d) no parking,9
2395,1,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,5
2800,2,1,(b) on-site,(d) no pets,(c) multi,(b) protected,6
2800,1,1,(a) in-unit,(c) cats,(c) multi,(d) no parking,8
2650,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,4
2000,0,1,(b) on-site,(d) no pets,(c) multi,(b) protected,7
2050,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,5
2600,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,1
2700,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,9
2395,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,5
2995,2,1,(b) on-site,(d) no pets,(c) multi,(b) protected,1
2675,1,1,(c) no laundry,(a) both,(c) multi,(d) no parking,9
2995,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,7
2750,1,1,(c) no laundry,(a) both,(c) multi,(c) off-street,5
3495,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,7
2750,0,1,(b) on-site,(d) no pets,(c) multi,(b) protected,7
2335,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
3020,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
3184,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2700,1,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,1
2800,1,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,1
2700,1,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,1
2843,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
3050,2,1,(a) in-unit,(c) cats,(a) single,(d) no parking,9
3636,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2917,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,9
3300,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2900,1,1,(b) on-site,(a) both,(c) multi,(b) protected,6
2600,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,6
3000,1,1.5,(b) on-site,(d) no pets,(c) multi,(b) protected,8
2695,1,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,7
2750,1,1,(b) on-site,(a) both,(c) multi,(d) no parking,9
3896,2,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,9
2420,1,1,(c) no laundry,(c) cats,(a) single,(d) no parking,3
2995,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,9
2574,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
3990,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
3188,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,9
2595,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
2795,2,2,(a) in-unit,(a) both,(c) multi,(d) no parking,8
3000,1,1,(b) on-site,(a) both,(c) multi,(b) protected,4
5295,2,2,(a) in-unit,(d) no pets,(c) multi,(d) no parking,9
2906,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,9
2906,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,9
3100,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,8
2795,1,1,(b) on-site,(a) both,(c) multi,(b) protected,9
3000,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,5
2600,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,9
3400,2,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,6
3100,2,1,(b) on-site,(c) cats,(c) multi,(b) protected,4
3195,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,9
3650,3,2,(b) on-site,(d) no pets,(c) multi,(d) no parking,1
2850,2,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
2195,1,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,1
2975,2,1,(b) on-site,(d) no pets,(c) multi,(b) protected,7
2880,2,1,(a) in-unit,(b) dogs,(c) multi,(d) no parking,1
2550,1,1,(c) no laundry,(d) no pets,(c) multi,(c) off-street,1
3095,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,9
3650,3,2,(b) on-site,(d) no pets,(c) multi,(d) no parking,1
3475,1,1,(c) no laundry,(a) both,(c) multi,(d) no parking,9
2199,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,8
2999,2,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,2
1929,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,8
2300,2,2,(a) in-unit,(d) no pets,(c) multi,(d) no parking,10
3195,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,9
2095,0,1,(a) in-unit,(d) no pets,(c) multi,(d) no parking,9
2550,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,7
3490,2,1,(a) in-unit,(a) both,(c) multi,(b) protected,8
3044,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,9
3300,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,9
2950,1,1,(a) in-unit,(a) both,(c) multi,(a) valet,8
2850,1,1,(a) in-unit,(a) both,(c) multi,(a) valet,9
3951,2,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2733,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2995,1,1,(c) no laundry,(c) cats,(c) multi,(b) protected,5
3000,1,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,6
3500,1,1,(a) in-unit,(b) dogs,(c) multi,(b) protected,9
4066,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2643,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,8
4250,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,8
3100,1,1,(a) in-unit,(d) no pets,(c) multi,(d) no parking,9
3200,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,8
2999,2,1,(b) on-site,(d) no pets,(c) multi,(b) protected,1
4000,3,1,(b) on-site,(d) no pets,(a) single,(d) no parking,10
2800,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,7
2695,1,1,(b) on-site,(c) cats,(c) multi,(d) no parking,1
2800,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,5
3500,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
3500,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,8
3625,1,1,(b) on-site,(b) dogs,(c) multi,(b) protected,8
4995,2,2,(a) in-unit,(d) no pets,(c) multi,(d) no parking,9
2995,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,9
2669,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,8
2800,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,5
3549,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,9
3549,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,9
